"","stredisko","funkcia","hod","fte"
"558",280,"L",149,0.86
"559",280,"ZF",18.5833333333333,0.11
"560",281,"F",242.5,1.39
"561",281,"L",155.75,0.9
"562",281,"ZF",66.5416666666667,0.38
"563",282,"L",148.5,0.85
"564",282,"ZF",146,0.84
"565",285,"F",142.5,0.82
"566",285,"ZF",157.416666666667,0.9
"567",286,"F",12.3333333333333,0.07
"568",286,"L",49.3333333333333,0.28
"569",286,"ZF",86.8333333333333,0.5
"570",287,"F",281.604166666667,1.62
"571",287,"L",153.541666666667,0.88
"572",287,"ZF",138,0.79
"573",288,"F",161.25,0.93
"574",288,"ZF",142.333333333333,0.82
"575",291,"F",325.708333333333,1.87
"576",291,"L",336,1.93
"577",291,"ZF",138.583333333333,0.8
"578",292,"F",334.74,1.92
"579",292,"L",296.041666666667,1.7
"580",292,"ZF",149,0.86
"581",293,"F",174.583333333333,1
"582",293,"L",301.625,1.73
"583",293,"ZF",177.541666666667,1.02
"584",294,"F",143.458333333333,0.82
"585",294,"L",284.875,1.64
"586",294,"ZF",11.75,0.07
"587",295,"F",305.708333333333,1.76
"588",295,"L",301.25,1.73
"589",295,"ZF",144.541666666667,0.83
"590",296,"F",418.25,2.4
"591",296,"L",396,2.28
"592",296,"ZF",18.75,0.11
"593",297,"F",124.833333333333,0.72
"594",297,"L",441.416666666667,2.54
"595",297,"ZF",157.333333333333,0.9
"596",298,"F",159.958333333333,0.92
"597",298,"L",315.166666666667,1.81
"598",298,"ZF",146.958333333333,0.84
"599",299,"F",268,1.54
"600",299,"L",378.333333333333,2.17
"601",299,"ZF",143.625,0.83
"602",300,"F",328.083333333333,1.89
"603",300,"L",297.25,1.71
"604",300,"ZF",152.875,0.88
"605",301,"F",225.375,1.3
"606",301,"L",493.708333333333,2.84
"607",301,"ZF",140.25,0.81
"608",305,"F",147.416666666667,0.85
"609",305,"L",129,0.74
"610",305,"ZF",148.166666666667,0.85
"611",306,"L",43.6666666666667,0.25
"612",306,"ZF",142.583333333333,0.82
"613",307,"F",246,1.41
"614",307,"L",451.666666666667,2.6
"615",307,"ZF",135.708333333333,0.78
"616",308,"F",329.041666666667,1.89
"617",308,"L",267.875,1.54
"618",308,"ZF",131.333333333333,0.75
"619",310,"F",254.541666666667,1.46
"620",310,"L",594.666666666667,3.42
"621",310,"ZF",73.25,0.42
"622",311,"L",143.833333333333,0.83
"623",311,"ZF",146.708333333333,0.84
"624",312,"F",390.208333333333,2.24
"625",312,"L",46.6666666666667,0.27
"626",312,"ZF",84.5416666666667,0.49
"627",313,"F",149.333333333333,0.86
"628",313,"L",276.5,1.59
"629",313,"ZF",146.645833333333,0.84
"630",316,"F",465.958333333333,2.68
"631",316,"ZF",14.1666666666667,0.08
"632",317,"F",138.958333333333,0.8
"633",317,"L",138.854166666667,0.8
"634",317,"ZF",134.479166666667,0.77
"635",319,"F",157.75,0.91
"636",319,"L",155.375,0.89
"637",319,"ZF",109,0.63
"638",320,"F",146.958333333333,0.84
"639",320,"L",189.833333333333,1.09
"640",320,"ZF",145.583333333333,0.84
"641",322,"F",428.25,2.46
"642",322,"L",154.875,0.89
"643",322,"ZF",37.3333333333333,0.21
"644",325,"F",315.166666666667,1.81
"645",325,"L",446.875,2.57
"646",325,"ZF",140.833333333333,0.81
"647",326,"F",150.25,0.86
"648",326,"L",167.583333333333,0.96
"649",326,"ZF",148.125,0.85
"650",327,"F",307.166666666667,1.77
"651",327,"L",308.5,1.77
"652",327,"ZF",16.6666666666667,0.1
"653",328,"F",21.3333333333333,0.12
"654",328,"L",14.6666666666667,0.08
"655",328,"ZF",1.33333333333333,0.01
"656",329,"F",82.6666666666667,0.48
"657",329,"L",84.6666666666667,0.49
"658",331,"F",155,0.89
