id,kme_ov’,nepr’tomnos_,z‡stup,,zastup_perc
282,1.692528736,0.227969349,0.153256705,,0.090548953
285,1.709530651,0.239463602,0.021072797,,0.012326656
286,0.853448276,0.372844828,0.491858238,,0.576318743
287,1.512212644,0.550886015,0.080220307,,0.053048298
288,1.114942529,0.243295019,0.095545977,,0.085695876
291,4.555555556,0.750957854,0.187021073,,0.041053406
292,4.41756705,0.612966954,0.030651341,,0.006938512
293,3.757183908,0.421455939,0.261494253,,0.06959847
294,2.507183908,0.573275862,1.077586207,,0.429799427
295,4.311063218,0.533045977,0.040469349,,0.009387324
296,4.769396552,1.093141762,0.005507663,,0.001154792
297,4.096743295,0.624521073,0.228448276,,0.055763386
298,3.561542146,0.329501916,0.404214559,,0.113494251
299,4.536398467,0.680795019,0.359913793,,0.079339105
300,4.470785441,0.412356322,0.34506705,,0.077182646
301,4.897988506,0.987787356,0.675287356,,0.137870343
305,2.424329502,0.444444444,0.060584291,,0.024990122
306,0.979645594,0.180076628,0.218869732,,0.223417257
307,4.730842912,0.651101533,0.143438697,,0.030319903
308,4.154693487,0.670258621,0.255268199,,0.061440922
310,5.286877395,0.805555556,0.450670498,,0.085243229
311,1.663074713,0.282806513,0.125957854,,0.075737941
312,2.979166667,0.435105364,0.03855364,,0.012941082
313,3.19480364,0.413912835,NA,,NA
316,2.517720307,0.456896552,0.03256705,,0.012935134
317,2.334291188,0.616618774,0.096623563,,0.041393106
319,2.369971264,0.66355364,0.021551724,,0.009093665
320,2.613745211,0.470306513,0.095545977,,0.036555199
322,3.602969349,0.291187739,0.3125,,0.086734016
325,5.153256705,0.567049808,NA,,NA
326,2.562739464,0.34243295,0.0625,,0.024387965
327,3.498802682,0.459291188,0.036398467,,0.010403121
328,0.007662835,0.048850575,NA,,NA
329,0.003831418,0.180076628,0,,0
331,2.391283525,0.32183908,NA,,NA
332,3.035440613,0.507662835,0,,0
333,1.05651341,0.70210728,0.585009579,,0.553717135
334,5.984434866,1.157088123,0.30914751,,0.051658597
335,4.146312261,0.582375479,0.017001916,,0.004100491
336,2.520953065,0.352849617,0.040708812,,0.016148183
337,1.713840996,0.277777778,0.212404215,,0.123934609
338,1.280890805,0.138888889,0.166666667,,0.130117779
340,2.407327586,0.570881226,0.095545977,,0.039689645
341,0.86637931,0.097701149,0.044779693,,0.051686014
342,1.611590038,0.328065134,0.303639847,,0.188410104
343,1.449712644,0.401819923,0.054837165,,0.037826231
347,2.516044061,0.262452107,0.022749042,,0.009041591
349,3.236111111,0.513409962,0.01532567,,0.00473583
350,1.637931034,0.287595785,0.197078544,,0.120321637
351,2.535680077,0.504310345,0.199952107,,0.078855416
352,1.571719349,0.318127395,0.459051724,,0.29206978
354,0.6223659,0.061302682,0.052921456,,0.085032705
355,1.117816092,0.233716475,0.068965517,,0.061696658
356,1.143678161,0.045977011,0.218390805,,0.190954774
359,0.395354406,0.04789272,0.036159004,,0.091459721
360,0.925766284,0.14032567,0.049090038,,0.053026384
362,0.261494253,0.082375479,NA,,NA
366,2.296695402,0.51532567,0.017241379,,0.007507038
368,2.957614943,0.354885057,0.132662835,,0.044854668
371,0.404214559,0.086206897,0.555555556,,1.374407583
373,1.852610153,0.418941571,0.049568966,,0.026756285
378,2.007543103,0.597341954,0.268917625,,0.133953599
427,2.653017241,1.025622605,0.297413793,,0.112103981
451,1.669779693,0.255028736,0.150862069,,0.090348487
453,3.297772989,0.643797893,0.006944444,,0.002105798
455,1.095785441,0.141762452,0.152059387,,0.138767483
456,1.724616858,0.183908046,0.193726054,,0.112329908
457,3.153017241,0.479885057,0.019157088,,0.006075796
459,3.203663793,0.504909004,0,,0
461,4.043941571,1.33776341,0.090277778,,0.022324204
462,2.859434866,0.856561303,0.110272989,,0.038564609
464,2.956657088,1.273467433,0.038793103,,0.013120596
465,2.571719349,0.432351533,0.268917625,,0.104567252
466,3.201628352,0.435105364,0.015565134,,0.004861631
467,3.557471264,0.442768199,0.10704023,,0.030088853
469,3.566810345,0.655890805,0.078065134,,0.021886539
470,3.377394636,1.39559387,0.034482759,,0.01020987
471,2.097940613,0.74066092,0.184386973,,0.08788951
474,3.938697318,0.832854406,0.01532567,,0.003891051
501,3.757423372,0.698036398,0.008141762,,0.002166847
502,2.765804598,0.529214559,0.075670498,,0.027359307
503,2.266283525,0.414272031,0.000718391,,0.000316991
504,3.130387931,1.154813218,0.079980843,,0.025549818
505,3.165349617,0.517121648,0.045019157,,0.014222491
506,1.69947318,0.233237548,0.158045977,,0.092997041
511,1.826867816,0.339559387,0.155651341,,0.085201206
515,4.479885057,1.150622605,0.01532567,,0.003420996
516,4.187260536,0.582136015,0.026819923,,0.006405124
518,4.494731801,1.173132184,0.006226054,,0.001385189
520,1.153975096,0.259818008,0.200191571,,0.173479975
523,1.844588123,1.009578544,0.164032567,,0.088926392
524,2.245450192,0.417624521,0.12164751,,0.054175109
551,3.132902299,0.923850575,0.099377395,,0.031720553
552,2.399664751,0.226772031,0.181992337,,0.075840734
553,1.92289272,0.235153257,0.082614943,,0.042963885
554,1.708572797,0.204741379,0.317289272,,0.185704275
555,2.412595785,0.338122605,0.043582375,,0.018064516
556,1.444923372,0.463362069,0.181752874,,0.125787206
558,1.70282567,0.249042146,0.205938697,,0.12093939
561,0.85440613,0.095785441,0.091954023,,0.107623318
562,1.766044061,0.287356322,0.193007663,,0.109288136
563,0.091714559,0.007902299,NA,,NA
565,2.502155172,0.368773946,0.006465517,,0.002583979
602,4.992097701,0.767001916,0.027298851,,0.005468413
603,3.456178161,0.455938697,0.002873563,,0.000831428
604,1.760057471,0.220306513,0.001676245,,0.000952381
605,9.666427203,1.635057471,0.065373563,,0.00676295
606,0,0,NA,,NA
608,2.35704023,0.402298851,0.019875479,,0.008432388
609,3.809386973,0.986590038,0.219348659,,0.057581091
610,2.089559387,0.689894636,0.017480843,,0.008365803
611,2.545498084,0.402298851,NA,,NA
612,1.666427203,0.247126437,0.266522989,,0.159936773
613,0.837164751,0.20809387,0.627873563,,0.75
614,3.272030651,1.186781609,0.000718391,,0.000219555
615,1.624521073,0.275862069,0.283764368,,0.174675708
616,4.515565134,1.221982759,0.05651341,,0.012515246
617,4.74066092,0.949233716,0.033045977,,0.006970753
618,6.44612069,1.030172414,0.329980843,,0.051190609
619,2.3776341,0.358716475,0.051484674,,0.021653742
620,2.98467433,0.784482759,0.085009579,,0.028482028
621,2.29454023,0.435823755,0.091954023,,0.040075141
624,3.380507663,0.574233716,0.184386973,,0.054544167
626,3.407088123,0.473180077,1.046216475,,0.307070565
627,4.094588123,0.714559387,0.26197318,,0.06398035
628,2.054597701,0.298970307,0.309626437,,0.150699301
629,2.973659004,0.60440613,0.011494253,,0.003865357
630,2.007662835,0.570881226,0.177203065,,0.088263359
631,1.684626437,0.206896552,0.114942529,,0.068230277
633,2.42887931,0.326149425,0.051484674,,0.021196885
634,2.805675287,1.009578544,0.012212644,,0.004352836
