id,mesto,payroll_F,payroll_L,payroll_ZF,payroll_total,allcsv_F,allcsv_L,allcsv_ZF,allcsv_fte,allcsv_fte_n,diff_F,diff_L,diff_ZF,diff_total
354,,0.0,0.3,0.33,0.63,,,,,,,,,
355,,0.0,0.75,0.41,1.16,,,,,,,,,
356,,0.49,0.56,0.09,1.14,,,,,,,,,
359,,0.32,0.0,0.07,0.39,,,,,,,,,
360,,0.46,0.31,0.15,0.92,,,,,,,,,
362,,0.13,0.0,0.13,0.26,,,,,,,,,
366,,1.51,0.0,0.77,2.28,,,,,,,,,
368,,1.3,0.94,0.71,2.95,,,,,,,,,
371,,0.0,0.0,0.87,0.87,,,,,,,,,
373,,1.58,0.0,0.28,1.85,,,,,,,,,
378,,0.76,0.6,0.8,2.16,,,,,,,,,
427,Holíč,0.88,1.55,0.19,2.62,1.14,1.61,0.2,2.95,1.03,-0.25,-0.07,-0.01,-0.33
451,Nemšová,0.0,0.84,0.83,1.67,0.07,0.86,0.89,1.82,0.26,-0.07,-0.02,-0.06,-0.15
453,"Nové Mesto nV, Laurus",0.96,1.68,0.72,3.36,0.9,1.69,0.72,3.3,0.64,0.06,-0.01,0.0,0.06
455,,0.15,0.51,0.49,1.15,,,,,,,,,
456,"Trenčín, OZETA",0.0,0.85,0.85,1.71,0.03,0.96,0.93,1.92,0.18,-0.03,-0.11,-0.08,-0.21
457,"Tornaľa, poliklinika",0.69,1.66,0.77,3.12,0.71,1.68,0.79,3.17,0.48,-0.02,-0.02,-0.02,-0.05
459,"Ban. Bystrica, Biopharma",0.84,1.67,0.8,3.31,0.83,1.62,0.76,3.2,0.5,0.01,0.05,0.04,0.1
461,"Topoľčany, Na Korze",2.1,1.43,0.85,4.38,1.95,1.5,0.68,4.13,1.34,0.15,-0.07,0.17,0.24
462,"Bytča, poliklinika",1.37,0.6,0.87,2.84,1.46,0.62,0.9,2.97,0.86,-0.08,-0.02,-0.03,-0.13
464,"Žilina, Magnólia",1.64,0.81,0.85,3.3,1.33,0.82,0.85,3.0,1.27,0.32,-0.01,-0.0,0.3
465,"Topoľčany, Jednota",0.98,0.76,0.84,2.59,0.99,0.99,0.85,2.84,0.43,-0.01,-0.23,-0.01,-0.25
