id,mesto,regional,region_code,typ,fte,fte_F,fte_L,fte_ZF,trzby,bloky,naklady,hodnota_bloku,podiel_rx,trzby_per_blok,trzby_cv,bloky_cv,bloky_trend,kpi_mean,kpi_std,contract_ZF,contract_F,contract_L,high_rx_complexity,is_shopping,is_poliklinika,is_street
48,"Čadca, TESCO",RR8_Katarína Kuchtová,RR8,B - shopping,3.9913793103448274,0.49,1.6,0.88,1138969.91,81440,90317.23,13.985386910609035,0.4036500402367961,13.985386910609035,0.1133885907782321,0.0904923740836755,0.1960167714884696,10.116600355445296,1.6904922951920187,1.0,0.916666666666667,2.25,0,1,0,0
49,"Nové Zámky, Kaufland",RR14_Zsolt Balogh,RR14,B - shopping,3.8896072796934864,0.85,2.53,0.75,1120226.59,84098,93647.41,13.320490261361746,0.3913080745565948,13.320490261361746,0.0970219977126916,0.0685530790304875,0.1069550848730659,10.748114692757795,2.4686603688884645,0.916666666666667,1.0,3.0,0,1,0,0
50,"Ban. Bystrica, centrum",RR6_Jaroslav Vigh,RR6,D - street,1.8395593869731803,,0.86,0.82,434328.33,25753,44351.79,16.86515473925368,0.4941437506505735,16.86515473925368,0.2209888183709595,0.2311445343753149,0.087890625,13.014840841758495,2.622563574661232,1.0,,1.0,0,0,0,1
51,"Gelnica, NsP",RR3_Jana Majernikova,RR3,E - poliklinika,2.252873563218391,2.35,,0.1,826292.73,24891,49662.04,33.19644570326624,0.818731105137522,33.19644570326624,0.1096038192207538,0.1511735974931741,-0.0477891916033943,7.467637904154178,1.5303143719289412,0.13,2.91666666666667,,1,0,1,0
52,"Sereď, Kaufland",RR14_Zsolt Balogh,RR14,B - shopping,4.553879310344827,1.28,2.22,0.75,1674055.72,121395,99569.29,13.790153795461098,0.4152581432594131,13.790153795461098,0.0875805483176871,0.0715444113763746,0.0756845352873119,7.639813657476034,0.6394025870552629,1.0,1.66666666666667,3.0,0,1,0,0
54,"Malacky, Kaufland",RR16_Robert Kardoš,RR16,B - shopping,6.01640325670498,2.88,3.29,0.85,2175358.09,137029,131670.08,15.875165767830168,0.4709848712769859,15.875165767830168,0.084028107951889,0.0720509534076724,-0.8938612099644128,8.261437134868716,0.8927520863978651,1.0,3.41666666666667,4.0,0,1,0,0
55,"Bratislava, Kaufland Rača",RR13_Slavomír Bodnár,RR13,B - shopping,4.286637931034483,2.49,1.71,0.9,1442169.48,84490,100976.03,17.069114451414368,0.4564834848675345,17.069114451414368,0.2173604991449009,0.1896802232172387,0.1243899221738557,9.272157563044049,1.340475611933218,1.0,3.0975,2.08333333333333,0,1,0,0
56,"Galanta, TESCO",RR11_Andrej Kukučka,RR11,B - shopping,4.704022988505747,2.58,0.96,0.86,1640048.73,100385,110292.59,16.33758758778702,0.5398692269344948,16.33758758778702,0.0863474944109192,0.0611926130956899,0.1639106819553409,8.666224063176896,1.621616917998019,1.0,3.0,1.16666666666667,0,1,0,0
57,Ľubochňa,RR6_Jaroslav Vigh,RR6,D - street,0.9566570881226054,,,0.88,452842.38,17022,30789.1,26.603359182234755,0.7302581529582103,26.603359182234755,0.1155843048703079,0.1523703716191763,0.0907811400422237,8.681913309180583,1.3402931135178475,1.0,,,1,0,0,1
58,"Stropkov, poliklinika",RR2_Silvia Mastikova,RR2,E - poliklinika,1.9909003831417624,0.74,0.73,0.72,657283.77,31307,44968.44,20.99478615006229,0.7720501146711716,20.99478615006229,0.0986238714034237,0.0709597945405768,0.0944283646888567,8.341075537815835,1.5381564113381538,0.855,0.916666666666667,1.0,1,0,1,0
59,"Lučenec, Prior",RR5_Juraj Hvorecky,RR5,D - street,3.024664750957854,0.87,1.51,0.74,723392.4,45000,61741.54,16.075386666666667,0.6136009031889194,16.075386666666667,0.1185419314211502,0.0952753118625441,0.136515268154991,11.016174310168251,2.2570612965653254,1.0,1.0,1.91666666666667,0,0,0,1
61,"Komárno, Kaufland",RR14_Zsolt Balogh,RR14,B - shopping,5.73323754789272,2.59,2.42,0.82,2275797.1,142402,127952.19,15.981496748641172,0.4740549278316595,15.981496748641172,0.0676407394474107,0.054894193334087,0.166985064258423,7.638128501090594,0.7386090622672875,1.0,3.0,3.0,0,1,0,0
62,"Dubnica nV, TESCO",RR9_Andrej Jakubík,RR9,B - shopping,3.8421934865900385,0.87,1.82,0.95,1116372.77,75622,82399.32,14.762539604876888,0.4185935760507666,14.762539604876888,0.1177543079457429,0.0914254578209469,0.129901179470832,9.93970742663324,1.3403842208148664,1.0,1.0,2.0,0,1,0,0
63,"Kežmarok, TESCO",RR7_Ivana Iľanovská,RR7,B - shopping,3.8522509578544057,0.87,1.54,0.82,985307.69,75345,85202.51,13.077280376932777,0.4859011401808911,13.077280376932777,0.1103556903433208,0.0909576069784179,0.0996097064313592,10.58753585689634,1.666519450717785,1.0,1.0,2.08333333333333,0,1,0,0
64,"Piešťany, Kaufland",RR12_Alena Romanová,RR12,B - shopping,3.896072796934866,1.88,1.82,0.08,1560579.38,104091,98541.48,14.992452565543612,0.488140692977758,14.99245256554361,0.0997141528204464,0.0768467832260419,0.1506196377502383,8.21247997854433,1.0305325838576014,0.42,2.25,2.83333333333333,0,1,0,0
65,"Nové Zámky, CBA",RR14_Zsolt Balogh,RR14,B - shopping,2.4018199233716473,0.7,,0.86,875194.85,48240,58000.55,18.14251347429519,0.5887247736889676,18.14251347429519,0.1145239999900037,0.102688970990625,0.1399841227838052,8.330212502231051,0.981383864625826,1.0,1.0,,0,1,0,0
66,"Žiar n.H., TESCO",RR5_Juraj Hvorecky,RR5,B - shopping,3.914032567049808,0.93,2.97,0.82,894251.73,65931,100256.45,13.563448605360149,0.4100256870624114,13.563448605360149,0.1249466681563858,0.0942786631190338,0.2938324282389449,14.171574914968769,3.476413002212452,0.855,1.08333333333333,3.66666666666667,0,1,0,0
67,"Stará Ľubovňa, Kaufland",RR7_Ivana Iľanovská,RR7,B - shopping,6.730842911877395,3.45,3.36,0.84,2247429.14,159593,136599.97,14.08225385825193,0.4852921369525358,14.08225385825193,0.0721040897923402,0.0751762858588232,0.2221864951768488,7.887578565675732,1.0551151225518558,1.0,4.66666666666667,4.0,0,1,0,0
68,"Rožňava, CBA",RR4_Radovan Kalmar,RR4,D - street,1.9013409961685823,,0.82,0.83,639134.2,37496,46372.0,17.045396842329847,0.5644571046268531,17.045396842329847,0.1046679471219731,0.0950569792833516,0.0951405152224824,9.156487336259469,1.0385144698862292,1.0,,1.0,0,0,0,1
69,"Košice, Billa",RR1_Beata Kubanova,RR1,B - shopping,4.432231800766283,1.68,1.72,0.82,1230303.6,76828,84138.18,16.01373978237101,0.5144828073330843,16.01373978237101,0.1131002852533623,0.0893801105073964,0.1760840998685939,8.65027286902104,1.3413209932510393,1.0,2.16666666666667,2.0,0,1,0,0
70,"Trenčín, Kaufland",RR9_Andrej Jakubík,RR9,B - shopping,5.237068965517241,1.64,2.71,0.87,1398074.12,93110,107677.55,15.015295027386962,0.4831748691550058,15.015295027386962,0.0955090306426549,0.0842876319052586,-0.0150621312915777,9.709470245403391,1.0018114536809188,1.0,2.0,3.25,0,1,0,0
71,"Košice, Kaufland Galeria",RR3_Jana Majernikova,RR3,B - shopping,7.307471264367816,3.93,2.53,0.86,2664251.65,158141,150879.12,16.847317583675327,0.5601783562750162,16.847317583675327,0.0969233690878408,0.0771723905976237,0.0334318034440521,7.314083273012693,0.8536939149783391,1.0,4.30416666666667,3.0,0,1,0,0
72,"Ružomberok, Kaufland",RR6_Jaroslav Vigh,RR6,B - shopping,5.830579501915709,2.86,2.0,0.93,2342660.82,142653,127639.3,16.42209291076949,0.5222799688091424,16.42209291076949,0.0905519740227335,0.0743673166413675,0.0912417865757298,7.658805490942097,0.8184154405010756,1.0,3.25,2.5,0,1,0,0
73,"Spiš.N.Ves, Kaufland",RR3_Jana Majernikova,RR3,B - shopping,5.317528735632184,2.8,1.8,0.84,1570904.76,117459,106195.04,13.374068909151278,0.5427380397014011,13.374068909151278,0.1713117834623259,0.1500892770008454,0.1442169907881269,8.813987610730775,2.7469579732023406,1.0,3.25,2.0,0,1,0,0
74,"Martin, Kaufland",RR8_Katarína Kuchtová,RR8,B - shopping,6.362308429118774,2.39,2.57,0.69,2197056.09,126487,133958.45,17.369817372536307,0.5868114454920449,17.369817372536307,0.0815247216955237,0.082396912512857,0.2588561453948044,7.506009988597757,0.9793726312645022,1.0,2.75,2.97916666666667,0,1,0,0
76,"Bardejov, Hypernova",RR2_Silvia Mastikova,RR2,B - shopping,3.7064176245210727,1.81,1.61,0.86,1283613.5,62321,68504.35,20.596805250236677,0.6578077357397689,20.596805250236677,0.1268662122374617,0.2857661046036221,0.7642000452591083,7.272272340982371,1.1416049785325806,1.0,2.125,2.0,0,1,0,0
77,"Trnava, Kaufland",RR12_Alena Romanová,RR12,B - shopping,4.864942528735632,1.4,2.45,0.78,1931775.48,128303,115313.45,15.056354722804612,0.5010114632990372,15.056354722804612,0.0940953163964979,0.0727263719172467,0.1484547992683161,7.630050952485419,1.159152835832408,1.0,1.58333333333333,3.0,0,1,0,0
78,"Trenčín, poliklinika",RR9_Andrej Jakubík,RR9,E - poliklinika,3.1652298850574714,2.34,,0.83,2095687.26,49171,70158.57,42.62039128754754,0.847836208156364,42.62039128754754,0.098888118962599,0.0893253333443998,0.0276551243318614,4.137295595786567,0.6203053906531032,1.0,2.83333333333333,,1,0,1,0
79,"Kremnica, poliklinika",RR5_Juraj Hvorecky,RR5,E - poliklinika,2.36566091954023,0.79,0.87,0.68,850709.78,35523,54490.13,23.94814007825916,0.7159176893440674,23.94814007825916,0.0961235776378815,0.0935485208215213,-0.0314017481385561,8.305236091977662,1.32940849997826,0.855,1.0,1.0,1,0,1,0
80,"Ban. Bystrica, Kaufland",RR6_Jaroslav Vigh,RR6,B - shopping,4.8951149425287355,1.1,2.56,0.75,1504326.42,93767,104808.47,16.04323930593919,0.4937433725321397,16.04323930593919,0.0947805770303524,0.0770177226231097,0.16068749147456,9.103386847402602,1.0872134008511602,1.0,1.5,3.0,0,1,0,0
81,"Trebišov, mesto",RR1_Beata Kubanova,RR1,C - street +,2.272988505747126,0.87,0.83,0.11,435278.5,25004,36036.33,17.408354663253878,0.5952214042274084,17.408354663253878,0.1840081674994868,0.1340868529440687,-0.083266291230893,10.61227495759132,1.8910587741500129,0.13,1.0,1.0,0,0,0,1
82,"Dunajská Streda, Kaufland",RR14_Zsolt Balogh,RR14,B - shopping,5.354406130268199,2.85,2.49,0.21,2148753.53,135369,123728.63,15.873305779018828,0.476379108031064,15.873305779018828,0.0713541529695704,0.0498495598084091,0.1419291688912617,7.988017699617756,0.8128948309059871,0.24,3.66666666666667,3.16666666666667,0,1,0,0
83,"Bratislava, ProCare",RR13_Slavomír Bodnár,RR13,E - poliklinika,1.4377394636015326,0.49,,0.73,285970.4,15046,37580.34,19.006407018476672,0.6393896710988269,19.006407018476672,0.1817249297657155,0.1665386553955519,0.0154043645699614,15.10485513644296,3.671882527305689,1.0,0.666666666666667,,0,0,1,0
84,"Senica, Kaufland",RR16_Robert Kardoš,RR16,B - shopping,5.332375478927203,1.67,2.97,0.82,1526822.35,102594,116311.34,14.882179757100806,0.4580686417119843,14.882179757100806,0.0911178677127807,0.0762070099254943,0.0948515769944341,9.740317687533384,0.9009703689883856,1.0,2.0,3.5,0,1,0,0
85,"Štúrovo, OC Aquario",RR14_Zsolt Balogh,RR14,B - shopping,3.4942528735632186,0.37,1.6,0.87,1111456.14,79276,79166.67,14.020083505726827,0.3983293933667953,14.020083505726827,0.1061314493623257,0.1769322432382217,0.1074141598298389,8.99754150172912,1.1996367234812877,1.0,0.583333333333333,2.0,0,1,0,0
86,"Kežmarok, Kaufland",RR7_Ivana Iľanovská,RR7,B - shopping,4.270474137931034,1.66,1.76,0.88,1493678.38,102888,87449.28,14.51751788352383,0.5313638602709105,14.51751788352383,0.0970947031581339,0.0847594365749062,0.1552035033487893,7.688649249310814,0.8060652865777186,1.0,2.08333333333333,2.0,0,1,0,0
87,"Trebišov, Kaufland",RR1_Beata Kubanova,RR1,B - shopping,4.898706896551724,1.68,2.39,0.88,1514783.0,120111,95565.39,12.61152600511194,0.4539864851929286,12.61152600511194,0.1576186335957443,0.1557541699917508,1.1570422535211269,8.406795264929023,1.76068425813534,1.0,2.0,3.0,0,1,0,0
88,"Zvolen, poliklinika",RR5_Juraj Hvorecky,RR5,E - poliklinika,2.308668582375479,0.66,0.92,0.9,792386.5,27925,50420.85,28.375523724261413,0.7381217373087503,28.375523724261413,0.0845104392693027,0.1488321991477709,0.0696956329951477,8.334941602914197,0.912537675274788,1.0,0.75,1.25,1,0,1,0
89,"Košice, žel.nemocnica",RR1_Beata Kubanova,RR1,E - poliklinika,4.712164750957855,3.26,1.53,0.83,1976139.61,63975,99223.15,30.88924751856194,0.8441563195021429,30.88924751856194,0.1288364555082238,0.1120306636223875,-0.0269674355495251,6.155279132529267,1.0701674278523203,1.0,4.33333333333333,2.0,1,0,1,0
90,"Zlaté Moravce, Tesco",RR11_Andrej Kukučka,RR11,B - shopping,4.722222222222222,1.79,1.64,0.87,1682755.19,104445,102961.43,16.11140016276509,0.5316108459008824,16.11140016276509,0.1360625568805126,0.116080059736353,0.0970727756566007,7.795740433537809,1.0959957288993305,1.0,2.16666666666667,2.0,0,1,0,0
91,"Rimavská Sobota, TESCO",RR5_Juraj Hvorecky,RR5,B - shopping,4.211206896551724,0.78,2.12,0.84,1165500.4,85283,95083.45,13.66626877572318,0.4744160448164582,13.66626877572318,0.0938043458686915,0.095129323340435,0.0877240630092341,10.087144274063876,1.1922348693457694,1.0,1.0,3.33333333333333,0,1,0,0
92,"Lipt. Mikuláš, Kaufland",RR7_Ivana Iľanovská,RR7,B - shopping,4.327586206896552,1.7,1.71,0.83,1638548.62,95112,91011.79,17.22756981243166,0.5303484555740555,17.22756981243166,0.0905278687679973,0.094712551230324,0.0728155339805825,7.281626064900094,0.7190067933992113,1.08333333333333,2.08333333333333,2.08333333333333,0,1,0,0
93,"Brezno, Kaufland",RR6_Jaroslav Vigh,RR6,B - shopping,3.8584770114942537,0.82,1.72,0.87,1038568.57,75487,87798.27,13.75824406851511,0.4638746963043566,13.758244068515108,0.1195712443190917,0.1079195955624968,0.1822421524663677,10.475875362279394,1.4623152426951602,1.0,1.0,2.0,0,1,0,0
94,"Lučenec, Kaufland",RR4_Radovan Kalmar,RR4,B - shopping,4.579980842911877,1.6,2.48,0.86,1244627.75,92898,97506.1,13.397788434627223,0.4869548344876611,13.397788434627223,0.099826478857173,0.0976089990095216,0.103176758077654,10.215329029153931,1.2711254863847945,1.0,2.0,3.0,0,1,0,0
96,Nová Baňa,RR5_Juraj Hvorecky,RR5,D - street,1.935823754789272,0.24,0.8,0.7,562927.49,27204,52189.7,20.692820541096896,0.6006532919541734,20.692820541096896,0.1298120511656528,0.1000984980193956,0.4277996070726915,12.087173001325365,2.60803294913849,1.16666666666667,0.333333333333333,1.04166666666667,0,0,0,1
97,"Trebišov, Nemocnica s pol.",RR1_Beata Kubanova,RR1,E - poliklinika,3.865421455938697,3.13,2.26,0.81,1499991.97,59833,63370.69,25.069643340631423,0.8202911379585585,25.069643340631423,0.1329861623228898,0.1274048208701217,0.0114352005303281,5.387652412786957,0.818226705293089,1.0,3.91666666666667,3.0,1,0,1,0
